company_id,metric_type,period_years,value_pct,raw_text
HDFCBANK,compounded_sales_growth,10.0,21.0,10 Years: 21%
HDFCBANK,compounded_profit_growth,10.0,22.0,10 Years: 22%
HDFCBANK,stock_price_cagr,10.0,15.0,10 Years:     15%
HDFCBANK,roe,10.0,17.0,10 Years:     17%
SBILIFE,compounded_sales_growth,5.0,24.0,5 Years:       24%
SBILIFE,compounded_profit_growth,5.0,6.0,5 Years:            6%
SBILIFE,stock_price_cagr,5.0,8.0,5 Years:       8%
SBILIFE,roe,5.0,14.0,5 Years          14%
SBILIFE,compounded_sales_growth,3.0,17.0,3 Years:       17%
SBILIFE,compounded_profit_growth,3.0,9.0,3 Years:            9%
SBILIFE,stock_price_cagr,3.0,7.0,3 Years:       7%
SBILIFE,roe,3.0,13.0,3 Years:         13%
SBILIFE,compounded_sales_growth,0.0,43.0,TTM:            43%
SBILIFE,compounded_profit_growth,0.0,18.0,TTM:                 18%
SBILIFE,stock_price_cagr,1.0,-2.0,1 Year:         -2%
SBILIFE,roe,1.0,12.0,Last Year:      12%
TCS,compounded_sales_growth,10.0,11.0,10 Years:     11%
TCS,compounded_profit_growth,10.0,9.0,10 Years:          9%
TCS,stock_price_cagr,10.0,14.0,10 Years:      14%
TCS,roe,10.0,40.0,10 Years:       40%
TCS,compounded_sales_growth,5.0,10.0,5 Years:       10%
TCS,compounded_profit_growth,5.0,8.0,5 Years:            8%
TCS,stock_price_cagr,5.0,16.0,5 Years:      16%
TCS,roe,5.0,44.0,5 Years:          44%
TCS,compounded_sales_growth,3.0,14.0,3 Years:       14%
TCS,compounded_profit_growth,3.0,12.0,3 Years:            12%
TCS,stock_price_cagr,3.0,8.0,3 Years:      8%
TCS,roe,3.0,47.0,3 Years:          47%
TCS,compounded_sales_growth,0.0,5.0,TTM:            5%
TCS,compounded_profit_growth,0.0,8.0,TTM:                 8%
TCS,stock_price_cagr,1.0,16.0,1 Year:       16%
TCS,roe,1.0,52.0,Last Year:       52%
WIPRO,compounded_sales_growth,10.0,8.0,10 Years:     8%
WIPRO,compounded_profit_growth,10.0,3.0,10 Years:          3%
WIPRO,stock_price_cagr,10.0,12.0,10 Years:     12%
WIPRO,roe,10.0,18.0,10 Years:        18%
WIPRO,compounded_sales_growth,5.0,9.0,5 Years:       9%
WIPRO,compounded_profit_growth,5.0,4.0,5 Years:            4%
WIPRO,stock_price_cagr,5.0,20.0,5 Years:     20%
WIPRO,roe,5.0,17.0,5 Years:          17%
WIPRO,compounded_sales_growth,3.0,13.0,3 Years:      13%
WIPRO,compounded_profit_growth,3.0,0.0,3 Years:            0%
WIPRO,stock_price_cagr,3.0,-1.0,3 Years:      -1%
WIPRO,roe,3.0,17.0,3 Years:          17%
HDFCBANK,compounded_sales_growth,5.0,22.0,5 Years:       22%
HDFCBANK,compounded_profit_growth,5.0,23.0,5 Years:           23%
HDFCBANK,stock_price_cagr,5.0,8.0,5 Years:       8%
HDFCBANK,roe,5.0,17.0,5 Years:       17%
WIPRO,compounded_sales_growth,0.0,-3.0,TTM:           -3%
WIPRO,compounded_profit_growth,0.0,1.0,TTM:                 1%
WIPRO,stock_price_cagr,1.0,39.0,1 Year:       39%
WIPRO,roe,1.0,14.0,Last Year:       14%
HDFCBANK,compounded_sales_growth,3.0,30.0,3 Years:       30%
HDFCBANK,compounded_profit_growth,3.0,26.0,3 Years:           26%
HDFCBANK,stock_price_cagr,3.0,8.0,3 Years:       8%
HDFCBANK,roe,3.0,17.0,3 Years:       17%
HDFCBANK,compounded_sales_growth,0.0,47.0,TTM:            47%
HDFCBANK,compounded_profit_growth,0.0,27.0,TTM:                27%
HDFCBANK,stock_price_cagr,1.0,13.0,1 Year:        13%
HDFCBANK,roe,1.0,17.0,Last Year:    17%
INFY,compounded_sales_growth,10.0,12.0,10 Years:     12%
INFY,compounded_profit_growth,10.0,9.0,10 Years:         9%
INFY,stock_price_cagr,10.0,15.0,10 Years:     15%
INFY,roe,10.0,27.0,10 Years:      27%
INFY,compounded_sales_growth,5.0,13.0,5 Years:       13%
INFY,compounded_profit_growth,5.0,11.0,5 Years:           11%
INFY,stock_price_cagr,5.0,22.0,5 Years:     22%
INFY,roe,5.0,29.0,5 Years:        29%
INFY,compounded_sales_growth,3.0,5.0,3 Years:       5%
INFY,compounded_profit_growth,3.0,10.0,3 Years:           10%
INFY,stock_price_cagr,3.0,4.0,3 Years:     4%
INFY,roe,3.0,31.0,3 Years:        31%
INFY,compounded_sales_growth,0.0,3.0,TTM:            3%
INFY,compounded_profit_growth,0.0,8.0,TTM:                 8%
INFY,stock_price_cagr,1.0,27.0,1 Year:       27%
INFY,roe,1.0,32.0,Last Year:     32%
SBILIFE,compounded_sales_growth,10.0,23.0,10 Years:     23%
SBILIFE,compounded_profit_growth,10.0,9.0,10 Years:          9%
SBILIFE,stock_price_cagr,10.0,9.0,10 Years:      9%
SBILIFE,roe,10.0,16.0,10 Years:      16%
