company_id,company_name,roce_percentage,roe_percentage,latest_financial_year,latest_sales,latest_operating_profit,latest_net_profit,latest_eps,operating_margin_percentage,net_profit_margin_percentage,latest_reserves,latest_borrowings,latest_total_liabilities,latest_total_assets,debt_to_asset_ratio,latest_operating_cash_flow,latest_net_cash_flow,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,sales_growth_score,profit_growth_score,stock_cagr_score,roe_score,roce_score,profit_margin_score,cash_flow_score,debt_score,financial_health_score,financial_rating,company_rank
ITC,ITC Ltd,34.76,29.47,,75135,26640.0,20829,16.0,35.456178878019564,27.722100219604712,74015.0,304.0,94071.0,94071.0,0.003231601662574013,17179.0,191.0,,,,,,,,86.66666666666667,87.91208791208791,89.13043478260869,76.92307692307693,87.91208791208791,85.71,EXCELLENT,1
COALINDIA,Coal India Ltd,63.6,52.0,,140328,93717.0,34350,56.0,66.78424833247819,24.47836497349068,90034.0,7816.0,249359.0,249359.0,0.03134436695687744,18103.0,-282.0,,,,,,,,95.55555555555556,95.6043956043956,83.69565217391305,78.02197802197803,71.42857142857143,84.86,EXCELLENT,2
INFY,Infosys Ltd,40.0,31.8,,159988,38145.0,27687,67.0,23.842413180988576,17.30567292546941,88391.0,8804.0,141870.0,141870.0,0.062056812574892505,25210.0,2613.0,,,,,,,,88.88888888888889,90.10989010989012,65.21739130434783,86.81318681318682,64.83516483516483,79.17,STRONG,3
ABB,Abbott India Ltd,46.0,34.9,,6066,1547.0,1285,605.0,25.502802505769868,21.183646554566433,3500.0,60.0,5063.0,5063.0,0.011850681414181316,6038.0,551.0,,,,,,,,91.11111111111111,92.3076923076923,75.0,52.197802197802204,82.41758241758242,78.61,STRONG,4
LICI,Life Insurance Corporation of India,63.79,63.61,,896106,25851.0,41468,,2.8848149660866014,4.627577541049831,91312.0,10.0,5719121.0,5719121.0,1.7485204457118497e-06,26122.0,-3574.0,,,,,,,,98.88888888888889,96.7032967032967,13.043478260869565,87.91208791208791,94.50549450549451,78.21,STRONG,5
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,53.8,40.4,,4455,1505.0,1200,15.0,33.78226711560045,26.936026936026934,3363.0,42.0,6800.0,6800.0,0.006176470588235294,882.0,262.0,,,,,,,,92.22222222222223,94.5054945054945,86.95652173913044,19.78021978021978,85.71428571428572,75.84,STRONG,6
NESTLEIND,Nestle India Ltd,185.43,135.61,,19786,4726.0,3323,34.0,23.88557565955726,16.794703325583747,3894.0,370.0,11108.0,11108.0,0.03330932661145121,4175.0,-198.0,,,,,,,,100.0,100.0,61.95652173913043,43.956043956043956,70.32967032967034,75.25,STRONG,7
HAL,Hindustan Aeronautics Ltd,38.9,28.9,,31154,9954.0,8472,127.0,31.950953328625538,27.193939783013416,202.0,124.0,476.0,476.0,0.2605042016806723,8226.0,-185.0,,,,,,,,85.55555555555556,89.01098901098901,88.04347826086956,62.637362637362635,41.75824175824175,73.4,STRONG,8
ADANIPOWER,Adani Power Ltd,32.2,57.1,,54650,20965.0,12686,33.0,38.36230558096981,23.213174748398902,52097.0,37705.0,110784.0,110784.0,0.34034698151357595,14170.0,787.0,,,,,,,,97.22222222222221,83.51648351648352,80.43478260869566,70.32967032967034,35.16483516483517,73.33,STRONG,9
EICHERMOT,Eicher Motors Ltd,31.1,24.2,,17091,4472.0,4268,156.0,26.165818266924113,24.972207594640455,18952.0,404.0,24380.0,24380.0,0.01657095980311731,3724.0,45.0,,,,,,,,78.33333333333333,81.31868131868131,85.86956521739131,41.75824175824176,79.12087912087912,73.28,STRONG,10
