company_rank,company_id,company_name,financial_health_score,financial_rating,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe_percentage,roce_percentage,net_profit_margin_percentage,debt_to_asset_ratio
1,ITC,ITC Ltd,85.71,EXCELLENT,,,,29.47,34.76,27.722100219604712,0.003231601662574013
2,COALINDIA,Coal India Ltd,84.86,EXCELLENT,,,,52.0,63.6,24.47836497349068,0.03134436695687744
3,INFY,Infosys Ltd,79.17,STRONG,,,,31.8,40.0,17.30567292546941,0.062056812574892505
4,ABB,Abbott India Ltd,78.61,STRONG,,,,34.9,46.0,21.183646554566433,0.011850681414181316
5,LICI,Life Insurance Corporation of India,78.21,STRONG,,,,63.61,63.79,4.627577541049831,1.7485204457118497e-06
6,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,75.84,STRONG,,,,40.4,53.8,26.936026936026934,0.006176470588235294
7,NESTLEIND,Nestle India Ltd,75.25,STRONG,,,,135.61,185.43,16.794703325583747,0.03330932661145121
8,HAL,Hindustan Aeronautics Ltd,73.4,STRONG,,,,28.9,38.9,27.193939783013416,0.2605042016806723
9,ADANIPOWER,Adani Power Ltd,73.33,STRONG,,,,57.1,32.2,23.213174748398902,0.34034698151357595
10,EICHERMOT,Eicher Motors Ltd,73.28,STRONG,,,,24.2,31.1,24.972207594640455,0.01657095980311731
11,HCLTECH,HCL Technologies Ltd,72.36,STRONG,,,,23.3,29.6,14.816838380684775,0.05804757274741137
12,HINDUNILVR,Hindustan Unilever Ltd,71.99,STRONG,,,,20.2,27.2,17.16697786501971,0.02044202315359376
13,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",68.65,STRONG,,,,31.45,41.75,13.295627458298643,0.08536337110673814
14,BAJAJ-AUTO,Bajaj Auto Ltd,67.31,STRONG,,,,26.5,33.5,15.073619631901842,0.11441472885127175
15,TCS,Tata Consultancy Services Ltd,66.44,STRONG,,,,0.52,64.3,19.440499519997463,0.05614309475931581
16,INDIGO,Interglobe Aviation Ltd,65.85,STRONG,,,,,24.5,7.942361002144463,0.016142050040355124
17,SUNPHARMA,Sun Pharmaceuticals Industries Ltd,65.1,STRONG,,,,16.7,17.3,22.09787707720442,0.029188796586318035
18,LTIM,LTIMindtree Ltd,64.8,GOOD,,,,26.04,34.1,12.319211398098522,0.08087340495810298
19,PIDILITIND,Pidilite Industries Ltd,64.66,GOOD,,,,22.8,29.7,15.29338810944888,0.029713837710701685
20,BEL,Bharat Electronics Ltd,64.63,GOOD,,,,26.3,34.6,21.047508690614137,0.3466666666666667
21,MARUTI,Maruti Suzuki India Ltd,63.54,GOOD,,,,15.75,23.67,9.655471617554902,0.0012983171180646859
22,DRREDDY,Dr Reddys Laboratories Ltd,63.3,GOOD,,,,21.4,26.5,17.44532325722886,0.10387776065742167
23,BPCL,Bharat Petroleum Corporation Ltd,63.26,GOOD,,,,41.9,32.1,3.082129528434631,0.27875356253491523
24,POWERGRID,Power Grid Corporation of India Ltd,63.01,GOOD,,,,19.0,13.2,34.296690823365054,0.4800996486445199
25,TATAMOTORS,Tata Motors Ltd,63.0,GOOD,,,,49.4,20.1,7.684389209677748,0.27274379505242463
26,HEROMOTOCO,Hero MotoCorp Ltd,62.71,GOOD,,,,22.0,29.1,10.307247244251585,0.020095007005912307
27,BRITANNIA,Britannia Industries Ltd,62.42,GOOD,,,,57.1,48.9,12.346323358849455,0.29090524981514737
28,CIPLA,Cipla Ltd,62.38,GOOD,,,,16.8,22.8,18.48337719135688,0.013302553744048477
29,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,60.86,GOOD,,,,14.8,13.1,431.9676860934795,0.0006479809190299587
30,TORNTPHARM,Torrent Pharmaceuticals Ltd,58.83,GOOD,,,,24.2,23.2,16.474960184038224,0.2073170731707317
31,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,58.61,GOOD,,,,18.1,12.9,34.25447386000071,0.4006269094949014
32,SIEMENS,Siemens Ltd,57.85,GOOD,,,,19.1,25.6,12.221223021582734,0.011028103877623622
33,ICICIGI,ICICI Lombard General Insurance Company Ltd,57.28,GOOD,,,,17.0,22.5,10.806403158662718,0.0
34,ATGL,Adani Total Gas Ltd,57.19,GOOD,,,,20.5,21.2,13.841690841276419,0.21294942999123062
35,ADANIGREEN,Adani Green Energy Ltd,56.64,GOOD,,,,14.7,96.5,17.881654609534408,0.6862545543365426
36,ICICIBANK,ICICI Bank Ltd,56.2,GOOD,,,,18.8,7.6,29.031132477804057,0.6983773275077695
37,IOC,Indian Oil Corporation,55.77,GOOD,,,,25.44,21.31,1.4325955205946275,0.32019948658658465
38,DIVISLAB,Divis Laboratories Ltd,54.52,GOOD,,,,12.2,16.5,21.31413977246343,0.0005132811497497754
39,DABUR,Dabur India Ltd,53.87,GOOD,,,,19.2,22.3,14.139953402426286,0.10700543577841569
40,SBILIFE,SBI Life Insurance Company Ltd,53.34,GOOD,,,,12.0,13.2,1.8535745312247738,0.0
41,TRENT,Trent Ltd,52.84,GOOD,,,,27.2,23.8,12.039933444259567,0.2226250906453952
42,BOSCHLTD,Bosch Ltd,52.32,GOOD,,,,16.0,20.6,12.151603498542274,0.0016737757140543167
43,HAVELLS,Havells India Ltd,51.73,GOOD,,,,18.0,24.4,6.770808144314939,0.025850657945962783
44,ONGC,Oil & Natural Gas Corpn Ltd,51.69,GOOD,,,,14.32,19.71,6.424834596944863,0.2527527210426418
45,SBIN,State Bank of India,51.09,GOOD,,,,17.3,6.16,15.855416555762577,
46,KOTAKBANK,Kotak Mahindra Bank Ltd,49.56,AVERAGE,,,,15.1,7.86,35.173996534120185,0.6778642301935605
47,HDFCBANK,HDFC Bank Ltd,47.53,AVERAGE,,,,17.1,7.67,21.934095592391998,0.7710554380260602
48,GAIL,GAIL (India) Ltd,47.49,AVERAGE,,,,14.0,14.7,8.48097824090064,0.1521990247230384
49,LT,Larsen & Toubro Ltd,47.36,AVERAGE,,,,10.49,17.18,6.760688376220796,0.08087340495810298
50,BHARTIARTL,Bharti Airtel Ltd,47.16,AVERAGE,,,,14.9,13.1,8.886144663553686,0.48926205361597636
51,AMBUJACEM,Ambuja Cements Ltd,45.66,AVERAGE,,,,9.24,12.8,11.78386605783866,0.01017343154155566
52,RELIANCE,Reliance Industries Ltd,45.02,AVERAGE,,,,9.25,9.61,8.505827600075758,0.1969701226859006
53,NHPC,NHPC Ltd,44.55,AVERAGE,,,,9.61,7.67,35.26315789473684,0.35022163982760207
54,DMART,Avenue Supermarts Ltd,44.01,AVERAGE,,,,14.5,19.4,4.754164263366718,0.030946180555555557
55,JIOFIN,Jio Financial Services Ltd,43.86,AVERAGE,,,,1.82,2.16,81.65650406504065,0.0
56,SHREECEM,Shree Cement Ltd,43.84,AVERAGE,,,,12.2,14.8,8.751641248358752,0.06037546214867727
57,JINDALSTEL,Jindal Steel & Power Ltd,43.52,AVERAGE,,,,14.1,13.2,10.116155860772906,0.20859963030530015
58,TITAN,Titan Company Ltd,43.23,AVERAGE,,,,32.9,22.7,5.955047926842704,0.5575645186215422
59,NTPC,NTPC Ltd,43.05,AVERAGE,,,,12.52,10.58,12.12854775891378,0.49165837108668714
60,DLF,DLF Ltd,42.44,AVERAGE,,,,6.95,5.74,57.19182973860877,0.0685533485674108
61,LODHA,Macrotech Developers Ltd,42.2,AVERAGE,,,,10.7,11.1,18.498600265212907,0.1686187612113538
62,BAJFINANCE,Bajaj Finance Ltd,41.4,AVERAGE,,,,22.1,11.9,24.709773760015413,0.770743790650793
63,M&M,Mahindra & Mahindra Ltd,41.15,AVERAGE,,,,17.99,26.98,8.916808894189577,0.4577091820745848
64,RECLTD,REC Ltd,40.84,AVERAGE,,,,22.2,10.0,28.908525927364536,0.8124917048453784
65,TECHM,Tech Mahindra Ltd,40.74,AVERAGE,,,,8.63,11.9,7.193764768656148,0.047516753449926445
66,HINDALCO,Hindalco Industries Ltd,40.12,AVERAGE,,,,10.2,11.3,5.574552044924961,0.24164763898138458
